iso_code,continent,location,date,total_cases,month,new_cases,new_cases_smoothed,total_deaths,new_deaths,people_vaccinated,life_expectancy,human_development_index,excess_mortality,vaccine,total_vaccinations,recovery_count,age_years,Total_deaths,COVID-19_Deaths
AFG,Asia,Afghanistan,6/28/21,115751,21-Jun,1,1692.714,4730,211,,64.83,0.511,,Sinovac,10804437,NewlyRecovered,Male Above 65,14445,1388
ALB,Europe,Bangladesh,6/28/21,100,21-Jun,1,3.286,2456,0,547300,78.57,0.795,,OxfordAstraZeneca,95843,SeriousCritical,Male Above 30 and Below 65,1835,74
DZA,Africa,Algeria,6/28/21,138840,21-Jun,6,363.714,3699,6,,76.88,0.748,,OxfordAstraZeneca,518004,Mild,Male Below 30,44392,6443
AND,Europe,Andorra,6/28/21,13882,21-Jun,0,2.571,127,0,,83.73,0.868,,OxfordAstraZeneca,298706,TotalRecovered,Female Above 65,10810,1128
AGO,Africa,Angola,6/28/21,38613,21-Jun,8,123.571,891,2,943301,61.15,0.581,,Moderna,3028162,NewlyRecovered,Female Below 30,44504,5641
ATG,North America,Antigua and Barbuda,6/28/21,1263,21-Jun,0,0,42,0,,77.02,0.778,,JohnsonJohnson,23,SeriousCritical,Female Above 30 and Below 65,228,1
ARG,South America,Argentina,6/28/21,4423636,21-Jun,5,20891.571,93142,574,15993494,76.67,0.845,,PfizerBioNTech,2707983,Mild,Male Above 65,2203,81
ARM,Asia,Armenia,6/28/21,224851,21-Jun,20,85.429,4510,2,,75.09,0.776,,JohnsonJohnson,4,TotalRecovered,Male Above 30 and Below 65,44502,6455
ABW,North America,Aruba,6/28/21,,21-Jun,,,,,67457,76.29,,,JohnsonJohnson,533,NewlyRecovered,Male Below 30,10556,30
AUS,Oceania,Australia,6/28/21,30560,21-Jun,3,27.714,910,0,6152645,83.44,0.944,,PfizerBioNTech,2975738,SeriousCritical,Female Above 65,10556,30
AUT,Europe,Austria,6/28/21,650324,21-Jun,1,93.429,10701,1,4692442,81.54,0.922,,OxfordAstraZeneca,9020928,Mild,Female Below 30,14445,1388
AZE,Asia,Azerbaijan,6/28/21,335874,21-Jun,2,50.429,4970,2,2139001,73,0.756,,Moderna,10026,TotalRecovered,Female Above 30 and Below 65,1353,37
BHS,North America,Bahamas,6/28/21,12467,21-Jun,0,14.714,245,0,,73.92,0.814,,OxfordAstraZeneca,293234,NewlyRecovered,Male Above 65,27334,3160
BHR,Asia,Bahrain,6/28/21,265477,21-Jun,0,311.714,1348,3,1054837,77.29,0.852,,OxfordAstraZeneca,315676,SeriousCritical,Male Above 30 and Below 65,5731,217
BGD,Asia,Bangladesh,6/28/21,,21-Jun,2,5780.857,14276,0,5823245,72.59,0.632,,JohnsonJohnson,8886,Mild,Male Below 30,42328,5286
BRB,North America,Barbados,6/28/21,4077,21-Jun,2,4.571,47,0,,79.19,0.814,,OxfordAstraZeneca,342263,TotalRecovered,Female Above 65,2337,112
BLR,Europe,Belarus,6/28/21,415780,21-Jun,5,661,3122,9,,74.79,0.823,,Moderna,168953,NewlyRecovered,Male Above 65,44392,6443
BEL,Europe,Belgium,6/28/21,1083478,21-Jun,7,548.286,25168,8,7013433,81.63,0.931,,PfizerBioNTech,566082,NewlyRecovered,Male Above 30 and Below 65,41363,6045
BLZ,North America,Belize,6/28/21,13189,21-Jun,5,21.429,329,0,,74.62,0.716,,Moderna,82622178,SeriousCritical,Male Below 30,2868,39
BEN,Africa,Benin,6/28/21,8170,21-Jun,0,4.286,104,0,36188,61.77,0.545,,OxfordAstraZeneca,36223,NewlyRecovered,Female Above 65,13015,1197
BTN,Asia,Bhutan,6/28/21,2062,21-Jun,10,17.571,1,0,,71.78,0.654,,PfizerBioNTech,70268,SeriousCritical,Female Below 30,204,3
BOL,South America,Bolivia,6/28/21,435568,21-Jun,10,1822.429,16631,50,1788228,71.51,0.718,,Moderna,3188,Mild,Female Above 30 and Below 65,14386,1580
BIH,Europe,Bosnia and Herzegovina,6/28/21,204991,21-Jun,4,18.714,9658,3,,77.4,0.78,,Moderna,277708,NewlyRecovered,Male Above 30 and Below 65,676,2
BWA,Africa,Botswana,6/28/21,69680,21-Jun,5,553.143,1125,30,,69.59,0.735,,PfizerBioNTech,4003939,SeriousCritical,Male Below 30,3391,217
BRA,South America,Brazil,6/28/21,18448402,21-Jun,4,68795.857,514092,618,71291563,75.88,0.765,,PfizerBioNTech,10389329,NewlyRecovered,Female Above 65,198,2
